name,label,type,reason
米芾,1,人,1051–1107，宋四家之一，與蘇軾同列且實際交遊，蘇軾曾評其書法。蘇軾卒(1101)時米芾在世。
蔡襄,1,人,1012–1067，宋四家之一，蘇軾早年即知其書名。
曾鞏,1,人,1019–1083，唐宋八大家，與蘇軾同代並同出歐陽脩門下。
王安石,1,人,1021–1086，變法領袖，蘇軾政敵兼晚年和解之友。
司馬光,1,人,1019–1086，舊黨領袖、《資治通鑑》作者，蘇軾同代。
歐陽脩,1,人,1007–1072，蘇軾座師與提攜者。
蘇轍,1,人,1039–1112，蘇軾之弟，終生相伴。
蘇洵,1,人,1009–1066，蘇軾之父。
黃庭堅,1,人,1045–1105，蘇門四學士之首，蘇軾卒時仍在世。
秦觀,1,人,1049–1100，蘇門四學士，卒於蘇軾前一年，蘇軾深知並痛悼。
晁補之,1,人,1053–1110，蘇門四學士之一。
張耒,1,人,1054–1114，蘇門四學士之一。
沈括,1,人,1031–1095，《夢溪筆談》作者，與蘇軾同代且有交集。
程顥,1,人,1032–1085，理學家『二程』之兄，蘇軾同代。
程頤,1,人,1033–1107，理學家『二程』之弟，與蘇軾於朝中有洛蜀黨爭，蘇軾深知其人。
周敦頤,1,人,1017–1073，理學開山、〈愛蓮說〉作者，蘇軾同代前輩。
張載,1,人,1020–1077，『橫渠四句』理學家，蘇軾同代。
宋徽宗,1,人,"1082–1135，蘇軾卒(1101)時已即位(1100登基),蘇軾晚年遇赦即徽宗朝,知其為帝。"
宋哲宗,1,人,1077–1100，蘇軾屢遭貶謫的在位皇帝。
宋神宗,1,人,1048–1085，熙寧變法時的皇帝。
佛印了元,1,人,1032–1098，與蘇軾交遊的禪僧，卒於蘇軾前。
陳師道,1,人,"1053–1101，蘇門文人,與秦觀齊名,卒於蘇軾同年。"
李公麟,1,人,"1049–1106，北宋畫家,與蘇軾、黃庭堅交遊。"
王詵,1,人,"約1048–1104，駙馬、畫家,蘇軾好友,西園雅集主人。"
文同,1,人,"1018–1079，畫竹名家,蘇軾表兄,『胸有成竹』典出於他。"
王鞏,1,人,"約1048–1117,蘇軾好友,烏台詩案受牽連被貶嶺南。"
劉摯,1,人,"1030–1098，舊黨宰相,蘇軾同朝。"
呂大防,1,人,"1027–1097，元祐宰相,蘇軾同朝。"
章惇,1,人,"1035–1105，新黨宰相,主導貶謫蘇軾至嶺南海南。"
曾布,1,人,"1036–1107，新黨人物,曾鞏之弟。"
范純仁,1,人,"1027–1101，范仲淹之子,蘇軾同朝,卒於蘇軾同年。"
蘇邁,1,人,"1059–？,蘇軾長子,隨侍左右。"
朝雲（王朝雲）,1,人,"1062–1096,蘇軾侍妾,隨他貶惠州,卒於惠州。"
孟元老（少年期）,1,人,"約1090s生,《東京夢華錄》作者,蘇軾晚年其尚年幼。註:其書成於南宋追憶北宋。"
烏台詩案,1,事,"1079年,蘇軾因詩文下獄,親歷。"
熙寧變法,1,事,"1069年起王安石推行新法,蘇軾親歷反對。"
元祐更化,1,事,"1085–1093,舊黨執政廢新法,蘇軾受召還朝。"
元豐改制,1,事,"1080–1082神宗官制改革,蘇軾同代。"
洛蜀黨爭,1,事,"元祐年間程頤(洛)與蘇軾(蜀)派系之爭,蘇軾為當事人。"
蘇軾貶黃州,1,事,"1080年,蘇軾因烏台詩案被貶黃州,親歷。"
蘇軾貶惠州,1,事,"1094年,蘇軾再貶惠州,親歷。"
蘇軾貶儋州,1,事,"1097年,蘇軾貶海南儋州,親歷。"
